title,city_name,salon,nb_rooms,nb_baths,surface_area,price_n,Ascenseur,Balcon,Chauffage,Climatisation,Concierge,Cuisine Équipée,Duplex,Meublé,Parking,Sécurité,Terrasse,city_grouped_Autres,city_grouped_Bouskoura,city_grouped_Casablanca,city_grouped_El Jadida,city_grouped_Fès,city_grouped_Kénitra,city_grouped_Marrakech,city_grouped_Martil,city_grouped_Meknès,city_grouped_Mohammedia,city_grouped_Rabat,city_grouped_Saidia,city_grouped_Salé,city_grouped_Tanger,city_grouped_Temara,nb_total_pieces
Appartement 81 m² avec piscine à gueliz,Marrakech,1.0,2.0,1.0,81.0,769500.0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0
Appartement à vendre 78 m² à Agadir,Agadir,1.0,2.0,2.0,78.0,890000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0
Appartement à vendre 95 m² à Agadir,Agadir,1.0,2.0,2.0,95.0,890000.0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0
Appartement à vendre 104 m² à Kénitra,Kénitra,2.0,3.0,3.0,104.0,700000.0,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5.0
CMN-MA-1690 - Appartement à vendre à Maârif,Casablanca,1.0,2.0,2.0,80.0,1150000.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.0
Appartement à vendre 44 m² à Casablanca,Casablanca,1.0,1.0,1.0,44.0,809000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.0
appartement bouskoura,Bouskoura,1.0,2.0,2.0,54.0,890000.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0
TNG-TA-1077 - Appartement à vendre à Val Fleuri,Tanger,1.0,2.0,1.0,86.0,750000.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.0
Appartement traversant – 107 m²,Bouskoura,1.0,3.0,2.0,107.0,1155600.0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0
TNG-TA-1049 - Appartement à vendre à Moujahidine,Tanger,1.0,2.0,1.0,69.0,770000.0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.0
Joli Appartement à vendre 106M²,Agadir,1.0,2.0,2.0,107.0,890000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0
Appartement 128m Luxe A Maarif Ex,Casablanca,2.0,2.0,2.0,128.0,1390000.0,1,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.0
شقق للبيع في الدار البيضاء,Casablanca,2.0,2.0,2.0,105.0,890000.0,1,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.0
Ideal Appartement à vendre à Bouznika,Bouznika,1.0,2.0,1.0,74.0,530000.0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0
CMN-AN-1527 - Appartement à vendre à Bourgogne,Casablanca,1.0,2.0,1.0,89.0,1120000.0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.0
CMN-AN-1644 - Appartement à vendre à Bourgogne,Casablanca,1.0,2.0,1.0,112.0,1500000.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.0
Appart Standing 82 m² à Perla Bouskoura,Bouskoura,1.0,2.0,2.0,82.0,815000.0,1,1,0,0,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0
TNG-TA-1045 - Appartement à vendre à manar,Tanger,1.0,3.0,2.0,105.0,1100000.0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.0
CMN-MA-1707 - Appartement à vendre à Maârif,Casablanca,1.0,1.0,1.0,49.0,770000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.0
TNG-TA-1053 - Appartement à vendre à Administratif,Tanger,1.0,3.0,2.0,112.0,1580000.0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.0
Appartement à vendre 64 m² à Tanger,Tanger,1.0,2.0,2.0,64.0,890000.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.0
Appartement en vente 81 m² à Casablanca ain sebaa,Casablanca,1.0,2.0,2.0,81.0,939600.0,1,1,1,1,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.0
TNG-TA-1051 - Appartement à vendre à Marjane,Tanger,1.0,2.0,1.0,99.0,960000.0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.0
Appartement 5 min du centre ville,Meknès,1.0,3.0,2.0,129.0,900000.0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4.0
Appartement à vendre 116 m² à Bouskoura,Bouskoura,1.0,3.0,2.0,116.0,1240000.0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0
Appartement à vendre 158 m² à Casablanca avec cour,Casablanca,2.0,3.0,3.0,158.0,14200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.0
Appartement à Vendre 69 m² Casablanca Sidi Maarouf,Casablanca,1.0,2.0,2.0,69.0,890000.0,1,1,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.0
appartement val fleury de standing 3 ch 132m,Casablanca,1.0,3.0,2.0,132.0,1880000.0,1,1,1,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.0
appartement 2 façade boulevard,Casablanca,2.0,3.0,2.0,107.0,940000.0,1,1,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.0
Appartement 50m² neuf Vente à Oulfa Hay Rahmaalya,Casablanca,1.0,2.0,1.0,50.0,300000.0,1,1,1,1,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.0
Neuf Appartement à vendre 2ème ètage,Agadir,1.0,2.0,2.0,76.0,890000.0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0
Appartement 70 m² à Marrakech,Marrakech,1.0,2.0,2.0,70.0,740000.0,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0
Appartement à vendre 83 m² à Bouskoura,Bouskoura,1.0,2.0,83.0,83.0,790000.0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0
Appartement standing ibn badis,El Jadida,2.0,2.0,2.0,120.0,890000.0,1,1,0,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4.0
"Au Lieu de 1150000dh, Grand Appt 3Chambres 153 m²",Kénitra,2.0,3.0,3.0,153.0,1000000.0,1,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5.0
Appartement en Vente à Casablanca,Casablanca,1.0,3.0,110.0,88.0,990000.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.0
شقق للبيع 108 m² في الدار البيضاء,Casablanca,1.0,2.0,2.0,108.0,890000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.0
شقق للبيع 86 m² في الدار البيضاء,Casablanca,1.0,2.0,1.0,86.0,820000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.0
appartement de Luxe,Meknès,2.0,3.0,2.0,160.0,850000.0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5.0
Appartement à vendre 64 m² à Agadir,Agadir,1.0,2.0,2.0,64.0,890000.0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0
Bel Appartement à vendre 105 m² 2ème ètage,Agadir,1.0,2.0,2.0,105.0,930000.0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0
Appartement à vendre 86m² à Bouskoura Odyssia,Bouskoura,1.0,2.0,2.0,89.0,860000.0,1,1,0,0,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0
Appartement à vendre 119 m² à Casablanca,Casablanca,1.0,3.0,2.0,119.0,800000.0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.0
Neuf apartement à vendre 90m² 2ème ètage,Agadir,1.0,2.0,2.0,90.0,890000.0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0
Appartement à vendre 67 m² à Agadir,Agadir,1.0,2.0,2.0,67.0,650000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0
Appartements à vendre à El Jadida,El Jadida,1.0,2.0,2.0,78.0,650000.0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.0
CMN-MA-1784 - Appartement à vendre à Oasis,Casablanca,1.0,1.0,1.0,40.0,1100000.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.0
Appart 110m Bourgogne Proche Mobilia,Casablanca,1.0,2.0,2.0,110.0,1360000.0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.0
CMN-MA-1495 - Appartement à vendre à Oasis,Casablanca,1.0,2.0,2.0,105.0,1900000.0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.0
Appartement à vendre 105 m² à Casablanca,Casablanca,2.0,3.0,2.0,105.0,950000.0,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.0
appartement à vendre,Temara,1.0,3.0,2.0,94.0,780000.0,0,1,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.0
Appartement à vendre 54 m² à Tanger,Tanger,1.0,2.0,2.0,54.0,890000.0,1,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.0
Appartements à vendre à El Mansouria,El Mansouria,1.0,2.0,2.0,86.0,890000.0,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0
Appartement à vendre 75 m² à Agadir,Agadir,1.0,2.0,2.0,75.0,890000.0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0
Appartement à vendre,Fès,1.0,3.0,2.0,94.0,580000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.0
Appartement 97 m² à hay mohammadi Agadir,Agadir,1.0,2.0,2.0,97.0,890000.0,1,1,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0
Appartement à vendre 125 m² à Bachkou,Casablanca,2.0,3.0,2.0,125.0,1920000.0,1,1,1,1,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.0
Appartement à vendre 56 m² à Casablanca,Casablanca,1.0,2.0,1.0,56.0,560000.0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.0
Appartement à vendre 71 m² quartier mouhmadi,Agadir,1.0,2.0,1.0,71.0,700000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0
Appartement à vendre 57 m² HAY HAMZA Sidi Maarouf,Casablanca,2.0,1.0,1.0,57.0,550000.0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.0
Appartement 260m² Vente à Belvédère,Casablanca,2.0,3.0,2.0,105.0,1300000.0,1,0,1,1,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.0
VENTE APPARTEMENT 104 M2 A SALA AL JADIDA,Salé,2.0,2.0,1.0,104.0,900000.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4.0
Appartement 3 chambres 84 m² à Oulfa,Casablanca,1.0,3.0,2.0,84.0,790000.0,1,1,0,0,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.0
apparemment meublé,Agadir,1.0,2.0,1.0,50.0,500000.0,0,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0
Appartement 149 m² à Casablanca,Casablanca,2.0,4.0,2.0,133.0,1370000.0,0,1,0,1,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.0
Appartement à vendre 85 m² à Marrakech,Marrakech,1.0,2.0,2.0,85.0,1100000.0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0
RAK-GU-1143 - Appartement à vendre à Issil,Marrakech,1.0,2.0,1.0,93.0,900000.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0
Appart Neuf 91m Titré proche Plage Martil,Martil,2.0,2.0,1.0,91.0,520000.0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4.0
Appartement neuf à vendre,El Jadida,1.0,2.0,1.0,79.0,580000.0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.0
bel appartement à vendre,Casablanca,1.0,3.0,2.0,138.0,1400000.0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.0
Appartement à vendre 76 m² à Temara,Temara,1.0,2.0,2.0,76.0,1050000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.0
Appartement à vendre 92 m² à Agadir,Agadir,1.0,2.0,2.0,92.0,890000.0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0
Appartement de luxe à vendre 84 m² à Casablanca,Casablanca,1.0,2.0,2.0,84.0,860000.0,1,1,0,0,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.0
Appartement à vendre 64 m² à Casablanca,Casablanca,1.0,2.0,2.0,64.0,890000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.0
Appartement à vendre 135 m² à Tanger,Tanger,1.0,2.0,2.0,135.0,11000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.0
CMN-AN-1530 - Appartement à vendre à Anfa,Casablanca,1.0,2.0,2.0,135.0,1820000.0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.0
